event_price_request_id,dat_rate,bid_to_dat,pwin,margin_dollars_no_appetite,expected_margin_dollars_no_appetite,margin_dollars_with_appetite,expected_margin_dollars_with_appetite,margin_dollars,expected_margin_dollars,bid_made_at_this_level
80215373,2529.54,0.6,0.9998712336660419,-860.0673683383827,-859.9566206164048,-0.0,-0.0,-860.0673683383827,-859.9566206164048,False
80215373,2529.54,0.61,0.9998168473826938,-834.7719683383827,-834.6190776675278,-0.0,-0.0,-834.7719683383827,-834.6190776675278,False
80215373,2529.54,0.62,0.9997394962676951,-809.4765683383828,-809.2656966711172,-0.0,-0.0,-809.4765683383828,-809.2656966711172,False
80215373,2529.54,0.63,0.9996294894481995,-784.1811683383826,-783.89062094099,-0.0,-0.0,-784.1811683383826,-783.89062094099,False
80215373,2529.54,0.64,0.9994730528838549,-758.8857683383826,-758.4858756712731,-0.0,-0.0,-758.8857683383826,-758.4858756712731,False
80215373,2529.54,0.65,0.9992506153581121,-733.5903683383826,-733.040626982913,-0.0,-0.0,-733.5903683383826,-733.040626982913,False
80215373,2529.54,0.66,0.9989343815131714,-708.2949683383827,-707.5401961259936,-0.0,-0.0,-708.2949683383827,-707.5401961259936,False
80215373,2529.54,0.67,0.9984849020559557,-682.9995683383827,-681.9647570966101,-0.0,-0.0,-682.9995683383827,-681.9647570966101,False
80215373,2529.54,0.68,0.9978462402667346,-657.7041683383825,-656.2876315842145,-0.0,-0.0,-657.7041683383825,-656.2876315842145,False
80215373,2529.54,0.69,0.9969391875679855,-632.4087683383827,-630.4730837181377,-0.0,-0.0,-632.4087683383827,-630.4730837181377,False
80215373,2529.54,0.7,0.9956517955944576,-607.1133683383828,-604.4735153155101,-0.0,-0.0,-607.1133683383828,-604.4735153155101,False
80215373,2529.54,0.71,0.993826273788895,-581.8179683383828,-578.2259834971603,-0.0,-0.0,-581.8179683383828,-578.2259834971603,False
80215373,2529.54,0.72,0.99124107909002,-556.5225683383828,-551.648031177688,-0.0,-0.0,-556.5225683383828,-551.648031177688,False
80215373,2529.54,0.73,0.9875868773961446,-531.2271683383826,-524.6329803672993,-0.0,-0.0,-531.2271683383826,-524.6329803672993,False
80215373,2529.54,0.74,0.9824351657855285,-505.93176833838265,-497.04516070368453,-0.0,-0.0,-505.93176833838265,-497.04516070368453,False
80215373,2529.54,0.75,0.9751990761920241,-480.6363683383827,-468.7161423878802,-0.0,-0.0,-480.6363683383827,-468.7161423878802,False
80215373,2529.54,0.76,0.9650879080721891,-455.3409683383827,-439.44406259325467,-0.0,-0.0,-455.3409683383827,-439.44406259325467,False
80215373,2529.54,0.77,0.9510613534901465,-430.04556833838274,-408.9997202863416,-0.0,-0.0,-430.04556833838274,-408.9997202863416,False
80215373,2529.54,0.78,0.9317976335279523,-404.75016833838254,-377.1452490277452,-0.0,-0.0,-404.75016833838254,-377.1452490277452,False
80215373,2529.54,0.79,0.9057029621899775,-379.45476833838256,-343.67330770118474,-0.0,-0.0,-379.45476833838256,-343.67330770118474,False
80215373,2529.54,0.8,0.871006434612484,-354.1593683383826,-308.47508870102405,-0.0,-0.0,-354.1593683383826,-308.47508870102405,False
80215373,2529.54,0.81,0.8259960605657611,-328.8639683383826,-271.6403423095272,-0.0,-0.0,-328.8639683383826,-271.6403423095272,False
80215373,2529.54,0.82,0.7694374174324284,-303.56856833838265,-233.5770152359448,-0.0,-0.0,-303.56856833838265,-233.5770152359448,False
80215373,2529.54,0.83,0.7011463208064298,-278.2731683383827,-195.1102081596053,-0.0,-0.0,-278.2731683383827,-195.1102081596053,False
80215373,2529.54,0.84,0.6225504456198909,-252.9777683383827,-157.49142241098568,-0.0,-0.0,-252.9777683383827,-157.49142241098568,False
80215373,2529.54,0.85,0.5369358316024814,-227.68236833838273,-122.25082178499201,-0.0,-0.0,-227.68236833838273,-122.25082178499201,False
80215373,2529.54,0.86,0.449086615989258,-202.38696833838276,-90.8892787314094,-0.0,-0.0,-202.38696833838276,-90.8892787314094,False
80215373,2529.54,0.87,0.36430288359851326,-177.09156833838279,-64.51496900665602,-0.0,-0.0,-177.09156833838279,-64.51496900665602,False
80215373,2529.54,0.88,0.2871817116974783,-151.7961683383828,-43.59308345253534,-0.0,-0.0,-151.7961683383828,-43.59308345253534,False
80215373,2529.54,0.89,0.22071816538076472,-126.50076833838284,-27.921017506904988,-0.0,-0.0,-126.50076833838284,-27.921017506904988,False
80215373,2529.54,0.9,0.1660532640327927,-101.20536833838241,-16.805481750229454,-0.0,-0.0,-101.20536833838241,-16.805481750229454,False
80215373,2529.54,0.91,0.12279378399370419,-75.90996833838244,-9.321272255112257,-0.0,-0.0,-75.90996833838244,-9.321272255112257,False
80215373,2529.54,0.92,0.08959333245702054,-50.61456833838247,-4.534727848309286,-0.0,-0.0,-50.61456833838247,-4.534727848309286,False
80215373,2529.54,0.93,0.06470731471940908,-25.319168338382497,-1.638335394105414,-0.0,-0.0,-25.319168338382497,-1.638335394105414,False
80215373,2529.54,0.94,0.04638163201078694,-0.023768338382978982,-0.0011024143243871939,-0.0,-0.0,-0.023768338382978982,-0.0011024143243871939,False
80215373,2529.54,0.95,0.03306247873454954,25.271631661616993,0.8355427843995806,25.271631661616993,0.8355427843995806,25.271631661616993,0.8355427843995806,False
80215373,2529.54,0.96,0.023473962331625697,50.56703166161742,1.1870085964469312,50.56703166161742,1.1870085964469312,50.56703166161742,1.1870085964469312,False
80215373,2529.54,0.97,0.016618438543429138,75.86243166161739,1.2607151583236815,75.86243166161739,1.2607151583236815,75.86243166161739,1.2607151583236815,True
